"","country","y","EnergyUse","GDP","pop","co2percap","Lowcarbon_energy","internet","urb"
"403","Bulgaria",2008,30806.3238644303,17717.1218284588,7524084,7.1875,21.486,2979348,71.622
"453","Canada",2008,95306.4633704492,45851.6302484565,33337638,17.3788,33.894,25621288,80.578
"573","Chile",2008,21110.8710293206,20840.4042140469,16708255,4.2371,19.625,6214904,86.959
"583","China",2008,19455.8749149099,7412.87436349204,1353569480,5.5386,7.523,303837841,46.539
"603","Colombia",2008,7783.36567131937,11393.2022349803,44254972,1.506,32.549,11494795,77.204
"663","Croatia",2008,26517.221981551,26460.8959793295,4352639,5.4217,14.431,1925514,54.819
"693","Cyprus",2008,27779.1671905973,40484.6149094716,1081568,8.057,0.113,457609,67.839
"703","Czechia",2008,50366.1885928619,34580.4433462984,10425267,11.7978,15.649,6563863,73.394
"733","Denmark",2008,40722.6060370746,52982.5317373493,5497731,9.3165,11.504,4674225,86.487
"843","Ecuador",2008,7820.97405567244,10257.3996333732,14535740,2.0345,21.545,2716142,62.3
"853","Egypt",2008,10555.3327802507,9763.50444936789,79636081,2.4457,5.179,14579794,43.058
"893","Estonia",2008,47746.0082642155,29616.6905059021,1340067,13.3392,0.791,945569,68.351
"1053","Finland",2008,77562.486041421,48817.989492787,5319452,11.0193,37.697,4451162,83.299
"1083","France",2008,47806.1149220724,42996.2097818165,62209207,6.2369,45.387,44054538,77.868
"1143","Germany",2008,46948.3419829598,47573.0273603862,81065751,10.5461,17.21,63282136,76.575
"1173","Greece",2008,31930.0889225617,37461.5387708945,11040312,10.0654,3.738,4362305,75.568
"1312","Hong Kong",2008,23333.2520509356,49788.8139701131,6881861,6.2179,0.001,4629195,100
"1323","Hungary",2008,30664.2019735035,25792.7025200493,9991867,5.7295,15.422,6094633,67.943
"1343","Iceland",2008,190195.057716421,52999.4375361804,310855,12.2612,80.334,282904,93.395
"1393","India",2008,5833.13856876326,3720.09264848115,1200669762,1.2183,7.528,52435034,30.246
"1403","Indonesia",2008,9223.75365736462,7657.59471924865,235469755,1.5556,3.437,18697862,48.335
"1413","Iran",2008,32996.4549048172,13213.0956231173,72120608,7.4132,0.868,8756034,69.458
"1423","Iraq",2008,11261.9214144821,8333.31848064969,28385739,3.2341,2.287,291114,68.927
"1433","Ireland",2008,38307.8783056809,56485.699245268,4415871,10.7265,4.833,2933497,61.141
"1453","Israel",2008,36391.7558928962,34065.412547897,7020832,9.6826,0.031,4215152,91.702
"1463","Italy",2008,35908.3964298475,44623.6020153057,58922116,8.1277,7.69,26496412,68.092
"1483","Japan",2008,44873.5934735248,38141.9339734818,128538644,9.5871,15.473,96927083,89.103
"1503","Kazakhstan",2008,51498.6510303838,19770.2166481541,15862126,14.4161,3.067,1760129,56.682
"1623","Latvia",2008,24497.0097027449,24711.1074481853,2171248,3.7757,18.561,1377190,67.834
"1733","Lithuania",2008,34609.8565175561,26784.8800343204,3212867,4.7318,28.737,1775117,66.848
"1783","Luxembourg",2008,100160.277990382,111409.723762355,485403,23.04,1.5,398902,87.8
"1823","Malaysia",2008,32304.2314501874,20103.5041375898,27236003,7.4161,2.436,15127977,69.225
"1923","Mexico",2008,18855.3115344969,18396.8109188439,110815272,4.4487,7.643,24675979,77.222
"2083","Morocco",2008,5961.63046373084,5952.65699617584,31536807,1.6289,1.786,10458559,56.886
"2143","Netherlands",2008,56382.3992117524,53848.2522316971,16568105,10.5541,3.606,14484387,85.402
"2173","New Zealand",2008,47482.072761632,37933.1514651725,4278156,8.8153,32.928,3081677,86.28
"2263","North Macedonia",2008,16992.6201162961,13044.7636415746,2067309,4.4965,7.02,951821,57.175
"2313","Norway",2008,78534.0054594889,63570.3612363011,4771014,9.3978,68.555,4321465,78.526
"2383","Pakistan",2008,5594.28304265407,3908.59900568073,171648984,0.9051,10.617,11455122,34.59
"2443","Peru",2008,6121.99137388029,9341.2310269105,28562321,1.4288,26.715,8755853,76.052
"2453","Philippines",2008,5131.04202585628,5618.48495292549,90901967,0.8504,16.73,5644766,45.455
"2463","Poland",2008,29828.3407115909,22444.9073474414,38356786,8.6153,1.991,20362439,61.116
"2483","Portugal",2008,27182.4662297289,32307.912767932,10595312,5.6745,14.195,4700771,59.359
"2543","Romania",2008,22433.8787776243,22044.3066816204,20829521,4.7327,16.731,6750195,53.567
